8.176	4.883	3.312	2.672	0.770	-0.954
-2.843	-5.044	-7.447	nan	-6.813	-4.507
-5.370	-5.914	-6.553	-4.917	-2.906	-2.554
-3.712	nan	-7.323	-8.305	-8.448	-9.071
-6.875	-4.658	-2.119	-2.157	-2.716	-3.350
-2.695	-0.352	2.186	2.162	-0.825	-2.554
-4.933	nan	-1.941	-0.177	1.461	nan
-1.344	nan	-9.282	-12.262	-14.409	-13.805
-10.539	nan	-3.859	-3.213	-0.944	-0.312
nan	-2.765	-2.384	nan	-0.404	-0.012
1.737	1.254	-0.210	0.384	1.872	nan
5.553	4.924	4.941	4.620	4.700	4.378
3.485	5.077	6.025	5.871	2.985	1.212
1.875	2.233	0.907	0.208	-0.149	nan
-1.272	-2.805	-1.852	-0.347	1.987	2.242
2.350	1.301	0.989	-0.279	-2.479	nan
-1.109	1.037	nan	-3.766	7.456	nan
6.986	7.042	4.354	2.880	0.286	-0.518
-2.828	-3.335	-3.609	-3.656	-5.422	-6.173
-5.703	-2.851	0.712	4.064	4.402	2.412
nan	nan	nan	-2.111	0.867	1.519
1.677	-0.988	-1.912	-2.363	nan	0.692
1.416	1.259	nan	-5.008	-9.133	-11.830
-13.829	-13.373	-13.214	-12.650	-10.663	-6.454
-3.324	-1.633	nan	0.435	1.998	nan
1.700	1.750	nan	-0.345	-3.201	-6.156
-5.678	-4.326	-3.192	nan	-3.557	-3.452
-5.075	-6.822	-6.369	nan	nan	-2.217
nan	-4.357	-7.356	-6.218	-3.695	-0.439
0.018	-1.754	-5.403	-7.788	-11.672	-12.915
-14.115	nan	-12.919	-11.848	-8.831	-6.588
-3.394	-0.711	1.463	3.232	2.746	3.529
4.501	6.988	8.007	8.437	7.706	nan
4.681	nan	-1.550	-0.376	-0.841	-0.636
0.536	nan	nan	2.778	2.722	1.549
2.058	0.027	nan	nan	-11.399	-8.273
-5.642	-4.160	-3.621	nan	-0.978	nan
0.248	nan	3.090	4.188	4.389	4.820
4.604	4.085	2.333	1.390	-1.336	-2.147
-3.294	-4.625	nan	-8.496	-7.700	-2.666
nan	0.772	-2.834	nan	-3.780	nan
-3.475	-2.334	1.827	4.654	4.987	2.224
0.542	1.514	nan	3.198	1.587	nan
-1.120	-1.173	0.813	2.527	nan	0.504
0.356	0.183	-1.544	-5.568	-6.317	-4.382
nan	-4.417	-6.226	-3.959	nan	nan
3.960	0.182	-4.229	-7.904	-6.933	-3.211
0.313	-0.500	-1.104	-0.756	1.525	2.802
1.715	0.164	nan	nan	nan	-6.772
nan	0.422	2.145	nan	nan	-4.828
-1.198	-1.975	-3.251	-4.236	-0.695	3.357
7.126	8.017	nan	7.132	6.704	nan
nan	5.850	2.813	1.235	-0.850	-0.993
-1.404	-1.749	-1.090	-0.682	-0.769	1.702
nan	4.123	2.237	-0.247	-1.805	-3.962
-4.062	-4.469	-2.992	nan	-0.926	-1.502
-4.210	nan	-3.074	-1.403	0.196	nan
nan	3.486	3.018	0.908	1.253	0.864
nan	-1.964	-0.969	3.271	4.524	4.246
0.868	2.258	2.243	4.541	5.185	5.935
nan	5.425	4.251	4.365	2.226	2.558
2.215	nan	-0.283	-0.634	nan	2.639
5.811	9.629	nan	10.587	nan	nan
7.128	7.143	nan	5.857	3.685	3.315
nan	nan	4.332	5.159	5.298	1.641
nan	-5.911	-8.996	-11.825	-13.726	-12.908
-10.886	-6.315	-2.415	-0.032	1.292	0.610
nan	-3.746	nan	-4.959	-1.424	0.737
2.221	-0.454	-4.024	-6.537	-4.811	nan
0.122	-1.505	-4.763	-5.581	-3.321	-1.607
-3.889	-8.174	nan	-12.660	-12.039	nan
-12.770	-10.947	-8.079	-5.762	-5.556	-5.206
-4.295	-3.137	-2.446	-2.495	-2.312	-1.680
-1.097	-0.205	-0.772	-0.724	nan	2.939
5.138	3.658	1.596	-1.205	nan	-0.227
1.518	1.379	-0.354	-4.549	-8.559	nan
nan	-6.664	-6.312	-6.647	-6.295	-3.204
-1.280	-1.288	-3.573	-5.956	nan	-4.836
-1.496	-0.955	-0.378	0.787	3.117	0.980
-2.789	-5.166	nan	0.754	nan	7.498
6.889	5.474	3.653	1.972	0.585	-1.422
-3.152	-5.391	-7.743	-8.166	-6.576	-4.639
-4.944	-5.221	nan	nan	-1.737	-4.702
-8.234	-10.419	11.336	9.030	5.653	4.720
6.067	7.206	nan	6.945	6.152	5.185
nan	nan	2.021	nan	-2.137	-1.905
0.020	2.516	nan	6.378	7.166	8.002
nan	10.272	11.017	12.478	12.148	12.029
9.753	nan	4.014	4.038	3.700	6.739
nan	12.353	14.497	13.927	nan	12.620
11.172	9.933	6.780	5.197	nan	8.405
nan	nan	nan	5.892	7.802	6.089
4.755	4.859	nan	1.467	-0.727	-3.565
-4.613	nan	-7.565	-7.752	-6.691	-3.631
0.457	nan	5.948	6.721	nan	8.085
7.234	5.406	4.650	5.583	nan	9.332
11.558	13.530	14.479	15.122	14.329	12.877
10.488	9.782	9.884	10.024	9.334	8.585
7.796	8.392	nan	7.304	5.107	2.651
2.084	3.036	3.516	3.517	2.906	2.741
